0000000151,scans,0000000051,DataLength
"header",0000000040,"lines"
"Date",02/12/2019,"Time",09:59:49
"ID","EQP HIGH ENERGY #15031","Version",3
"Scans",1
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","electron-energy",5.0,20.0,0.1,10.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"1st-dynode",-3500,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"D.C.quad",6,"%"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"axis",-40.0,"V"
"cage",3.0,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",10.0000,"uA"
"energy",3.15,"V"
"extractor",0,"V"
"focus2",-354,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"horiz",16,"%"
"lens1",0,"V"
"lens2",-100,"V"
"mass",40.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1900,"V"
"plates",7.27,"V"
"reference",0.0,"V"
"resolution",0,"%"
"suppressor",-200,"V"
"transit-energy",3.00,"V"
"vert",24,"%"
"Data",1
"Cycle","Time","ms","electron-energy V","SEM c/s"
0000000001,00:00:01,0000001381,    5.0,         0
0000000001,00:00:01,0000001381,    5.1,         0
0000000001,00:00:01,0000001381,    5.2,         0
0000000001,00:00:01,0000001381,    5.3,         0
0000000001,00:00:01,0000001381,    5.4,         0
0000000001,00:00:01,0000001381,    5.5,         0
0000000001,00:00:01,0000001381,    5.6,         0
0000000001,00:00:01,0000001381,    5.7,         0
0000000001,00:00:01,0000001381,    5.8,         0
0000000001,00:00:01,0000001381,    5.9,         0
0000000001,00:00:01,0000001381,    6.0,         0
0000000001,00:00:01,0000001381,    6.1,         0
0000000001,00:00:01,0000001381,    6.2,         0
0000000001,00:00:01,0000001381,    6.3,         0
0000000001,00:00:01,0000001381,    6.4,         0
0000000001,00:00:01,0000001381,    6.5,         0
0000000001,00:00:01,0000001381,    6.6,         0
0000000001,00:00:01,0000001381,    6.7,         0
0000000001,00:00:01,0000001381,    6.8,         0
0000000001,00:00:01,0000001381,    6.9,         0
0000000001,00:00:01,0000001381,    7.0,         0
0000000001,00:00:01,0000001381,    7.1,         0
0000000001,00:00:01,0000001381,    7.2,         0
0000000001,00:00:01,0000001381,    7.3,         0
0000000001,00:00:01,0000001381,    7.4,         0
0000000001,00:00:01,0000001381,    7.5,         0
0000000001,00:00:01,0000001381,    7.6,         0
0000000001,00:00:01,0000001381,    7.7,         0
0000000001,00:00:01,0000001381,    7.8,         0
0000000001,00:00:01,0000001381,    7.9,         0
0000000001,00:00:01,0000001381,    8.0,         0
0000000001,00:00:01,0000001381,    8.1,         0
0000000001,00:00:01,0000001381,    8.2,         0
0000000001,00:00:01,0000001381,    8.3,         0
0000000001,00:00:01,0000001381,    8.4,         0
0000000001,00:00:01,0000001381,    8.5,         0
0000000001,00:00:01,0000001381,    8.6,         0
0000000001,00:00:01,0000001381,    8.7,         0
0000000001,00:00:01,0000001381,    8.8,         0
0000000001,00:00:01,0000001381,    8.9,         0
0000000001,00:00:01,0000001381,    9.0,         0
0000000001,00:00:01,0000001381,    9.1,         0
0000000001,00:00:01,0000001381,    9.2,         0
0000000001,00:00:01,0000001381,    9.3,         0
0000000001,00:00:01,0000001381,    9.4,         0
0000000001,00:00:01,0000001381,    9.5,         0
0000000001,00:00:01,0000001381,    9.6,         0
0000000001,00:00:01,0000001381,    9.7,         0
0000000001,00:00:01,0000001381,    9.8,         0
0000000001,00:00:01,0000001381,    9.9,         0
0000000001,00:00:01,0000001381,   10.0,         0
0000000001,00:00:01,0000001381,   10.1,         0
0000000001,00:00:01,0000001381,   10.2,         0
0000000001,00:00:01,0000001381,   10.3,         0
0000000001,00:00:01,0000001381,   10.4,         0
0000000001,00:00:01,0000001381,   10.5,         0
0000000001,00:00:01,0000001381,   10.6,         0
0000000001,00:00:01,0000001381,   10.7,         0
0000000001,00:00:01,0000001381,   10.8,         0
0000000001,00:00:01,0000001381,   10.9,         0
0000000001,00:00:01,0000001381,   11.0,         0
0000000001,00:00:01,0000001381,   11.1,         0
0000000001,00:00:01,0000001381,   11.2,         0
0000000001,00:00:01,0000001381,   11.3,         0
0000000001,00:00:01,0000001381,   11.4,         0
0000000001,00:00:01,0000001381,   11.5,         0
0000000001,00:00:01,0000001381,   11.6,         0
0000000001,00:00:01,0000001381,   11.7,         0
0000000001,00:00:01,0000001381,   11.8,         0
0000000001,00:00:01,0000001381,   11.9,         0
0000000001,00:00:01,0000001381,   12.0,         0
0000000001,00:00:01,0000001381,   12.1,         0
0000000001,00:00:01,0000001381,   12.2,         0
0000000001,00:00:01,0000001381,   12.3,         0
0000000001,00:00:01,0000001381,   12.4,         0
0000000001,00:00:01,0000001381,   12.5,         0
0000000001,00:00:01,0000001381,   12.6,         0
0000000001,00:00:01,0000001381,   12.7,         0
0000000001,00:00:01,0000001381,   12.8,         0
0000000001,00:00:01,0000001381,   12.9,         0
0000000001,00:00:01,0000001381,   13.0,         0
0000000001,00:00:01,0000001381,   13.1,         0
0000000001,00:00:01,0000001381,   13.2,         0
0000000001,00:00:01,0000001381,   13.3,         0
0000000001,00:00:01,0000001381,   13.4,         0
0000000001,00:00:01,0000001381,   13.5,         0
0000000001,00:00:01,0000001381,   13.6,         0
0000000001,00:00:01,0000001381,   13.7,         0
0000000001,00:00:01,0000001381,   13.8,         0
0000000001,00:00:01,0000001381,   13.9,         0
0000000001,00:00:01,0000001381,   14.0,         0
0000000001,00:00:01,0000001381,   14.1,         0
0000000001,00:00:01,0000001381,   14.2,         0
0000000001,00:00:01,0000001381,   14.3,         0
0000000001,00:00:01,0000001381,   14.4,         0
0000000001,00:00:01,0000001381,   14.5,         0
0000000001,00:00:01,0000001381,   14.6,         0
0000000001,00:00:01,0000001381,   14.7,         0
0000000001,00:00:01,0000001381,   14.8,         0
0000000001,00:00:01,0000001381,   14.9,         0
0000000001,00:00:01,0000001381,   15.0,         0
0000000001,00:00:01,0000001381,   15.1,         0
0000000001,00:00:01,0000001381,   15.2,         0
0000000001,00:00:01,0000001381,   15.3,         0
0000000001,00:00:01,0000001381,   15.4,         0
0000000001,00:00:01,0000001381,   15.5,         0
0000000001,00:00:01,0000001381,   15.6,         0
0000000001,00:00:01,0000001381,   15.7,         0
0000000001,00:00:01,0000001381,   15.8,         0
0000000001,00:00:01,0000001381,   15.9,         0
0000000001,00:00:01,0000001381,   16.0,         0
0000000001,00:00:01,0000001381,   16.1,       100
0000000001,00:00:01,0000001381,   16.2,       700
0000000001,00:00:01,0000001381,   16.3,       600
0000000001,00:00:01,0000001381,   16.4,      1300
0000000001,00:00:01,0000001381,   16.5,       900
0000000001,00:00:01,0000001381,   16.6,      1900
0000000001,00:00:01,0000001381,   16.7,      3200
0000000001,00:00:01,0000001381,   16.8,      3500
0000000001,00:00:01,0000001381,   16.9,      4600
0000000001,00:00:01,0000001381,   17.0,      6700
0000000001,00:00:01,0000001381,   17.1,      7900
0000000001,00:00:01,0000001381,   17.2,     10200
0000000001,00:00:01,0000001381,   17.3,     11500
0000000001,00:00:01,0000001381,   17.4,     13200
0000000001,00:00:01,0000001381,   17.5,     16900
0000000001,00:00:01,0000001381,   17.6,     19200
0000000001,00:00:01,0000001381,   17.7,     24300
0000000001,00:00:01,0000001381,   17.8,     22600
0000000001,00:00:01,0000001381,   17.9,     31000
0000000001,00:00:01,0000001381,   18.0,     33700
0000000001,00:00:01,0000001381,   18.1,     35400
0000000001,00:00:01,0000001381,   18.2,     51700
0000000001,00:00:01,0000001381,   18.3,     55900
0000000001,00:00:01,0000001381,   18.4,     62300
0000000001,00:00:01,0000001381,   18.5,     72800
0000000001,00:00:01,0000001381,   18.6,     86200
0000000001,00:00:01,0000001381,   18.7,     95100
0000000001,00:00:01,0000001381,   18.8,    113800
0000000001,00:00:01,0000001381,   18.9,    116900
0000000001,00:00:01,0000001381,   19.0,    140700
0000000001,00:00:01,0000001381,   19.1,    159300
0000000001,00:00:01,0000001381,   19.2,    195300
0000000001,00:00:01,0000001381,   19.3,    214300
0000000001,00:00:01,0000001381,   19.4,    223200
0000000001,00:00:01,0000001381,   19.5,    239800
0000000001,00:00:01,0000001381,   19.6,    257400
0000000001,00:00:01,0000001381,   19.7,    252600
0000000001,00:00:01,0000001381,   19.8,    262800
0000000001,00:00:01,0000001381,   19.9,    274300
0000000001,00:00:01,0000001381,   20.0,    293100
